PointName,X,Y,Z
Root,-7.92119045383752,6.055880569930235,-6.805468559265137
MCP,-41.28694651161381,119.58668670444503,-12.019570594597486
PIP,-48.884142192919086,145.4370150640574,-13.206792409566063
DIP,-56.23724115972068,170.45677639787232,-14.35586897244721
End,-64.27733397249655,197.8141129692408,-15.61230279120329
