-3.53,0.19
-3.53,0.19
-3.53,0.19
-3.53,0.19
-3.53,0.19
-3.53,0.19
-3.53,0.19
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.18
-3.53,0.17
-3.53,-0.00
-3.53,-0.00
-3.53,-0.00
-3.53,-0.00
-3.53,-0.00
-3.53,-0.00
-3.53,-0.00
-3.53,-0.00
-3.53,-0.00
-3.53,-0.01
-3.53,-0.00
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.00
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.53,-0.01
-3.55,0.00
-3.80,0.03
-4.72,0.30
-5.66,1.23
-6.36,2.20
-6.86,2.54
-7.12,2.93
-7.42,3.11
-7.78,3.30
-8.01,3.65
-8.28,3.92
-8.60,4.09
-8.98,4.47
-9.61,4.98
-10.06,5.36
-9.65,5.72
-9.45,5.83
-9.10,5.72
-8.77,5.94
-8.40,6.16
-7.99,6.32
-7.51,6.67
-7.24,6.96
-6.86,7.01
-6.45,7.32
-6.14,7.60
-5.74,7.66
-5.22,7.90
-4.80,8.25
-4.38,8.35
-3.85,8.57
-3.33,8.92
-2.86,9.04
1.07,9.29
27.89,3.93
11.84,-0.08
23.44,-0.11
19.43,-0.19
19.43,-0.16
19.43,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
19.42,-0.16
